timestamp,basevolume,close,high,low,open,volume
2017-12-13 08:00:00,0.63592582,8.81e-06,8.87e-06,8.56e-06,8.76e-06,72251.36851113
2017-12-13 09:00:00,2.04065348,9.07e-06,9.74e-06,8.77e-06,8.86e-06,219555.57228699
2017-12-13 10:00:00,1.47714848,9.34e-06,9.74e-06,8.56e-06,9.13e-06,157721.30658331
2017-12-13 11:00:00,0.26371362,9.27e-06,9.62e-06,9.27e-06,9.3e-06,27916.56853191
2017-12-13 12:00:00,0.70740956,8.98e-06,9.27e-06,8.98e-06,9.27e-06,77312.9365022
2017-12-13 13:00:00,0.80957775,8.68e-06,8.98e-06,8.55e-06,8.98e-06,93250.33941239
2017-12-13 14:00:00,0.6507351,8.7e-06,9.04e-06,8.7e-06,8.7e-06,73772.32695328
2017-12-13 15:00:00,2.26172765,8.52e-06,8.91e-06,8e-06,8.91e-06,271396.63638655
2017-12-13 16:00:00,0.22914432,8.48e-06,8.5e-06,8.46e-06,8.49e-06,27025.64720533
2017-12-13 17:00:00,0.33181695,8.36e-06,8.58e-06,8.17e-06,8.53e-06,39508.20303541
2017-12-13 18:00:00,0.25412315,8.4e-06,8.58e-06,8.4e-06,8.41e-06,29991.70622399
2017-12-13 19:00:00,0.59792648,8.49e-06,8.59e-06,8.4e-06,8.4e-06,70075.92209439
2017-12-13 20:00:00,0.48311002,8.27e-06,8.41e-06,8e-06,8.41e-06,58714.95179019
2017-12-13 21:00:00,0.57413538,8.45e-06,8.58e-06,8.27e-06,8.27e-06,67913.81985323
2017-12-13 22:00:00,0.28234967,8.54e-06,8.54e-06,8.45e-06,8.46e-06,33299.10182298
2017-12-13 23:00:00,0.06577414,8.53e-06,8.59e-06,8.41e-06,8.54e-06,7747.63913149
2017-12-14 00:00:00,0.32771852,8.61e-06,8.61e-06,8.53e-06,8.53e-06,38154.14094529
2017-12-14 01:00:00,0.09590106,8.64e-06,8.66e-06,8.29e-06,8.61e-06,11328.02672147
2017-12-14 02:00:00,0.11569246,8.62e-06,8.64e-06,8.42e-06,8.42e-06,13411.89745467
2017-12-14 03:00:00,0.08158337,8.54e-06,8.68e-06,8.54e-06,8.64e-06,9422.80907125
2017-12-14 04:00:00,0.048959,8.66e-06,8.68e-06,8.53e-06,8.53e-06,5690.77646491
2017-12-14 05:00:00,0.09100691,8.7e-06,8.7e-06,8.66e-06,8.66e-06,10498.30438214
2017-12-14 06:00:00,0.13664864,8.67e-06,8.75e-06,8.54e-06,8.73e-06,15653.44475091
2017-12-14 07:00:00,0.18688798,8.46e-06,8.67e-06,8.42e-06,8.67e-06,21958.88926504
2017-12-14 08:00:00,1.07189291,8.32e-06,8.46e-06,7.97e-06,8.45e-06,131872.82234254
2017-12-14 09:00:00,0.25637915,8.23e-06,8.33e-06,8.01e-06,8.13e-06,31453.84006374
2017-12-14 10:00:00,0.17842519,8.39e-06,8.48e-06,8.22e-06,8.35e-06,21385.75492534
2017-12-14 11:00:00,0.039029,8.42e-06,8.51e-06,8.4e-06,8.4e-06,4641.24504598
2017-12-14 12:00:00,0.11383144,8.41e-06,8.42e-06,8.36e-06,8.4e-06,13561.13325606
2017-12-14 13:00:00,0.04843179,8.4e-06,8.4e-06,8.37e-06,8.38e-06,5779.57966315
2017-12-14 14:00:00,0.32377938,8.37e-06,8.4e-06,8.37e-06,8.4e-06,38649.98412533
2017-12-14 15:00:00,0.19894364,8.37e-06,8.37e-06,8.31e-06,8.37e-06,23786.99732212
2017-12-14 16:00:00,0.09250591,8.38e-06,8.41e-06,8.37e-06,8.37e-06,11006.65928751
2017-12-14 17:00:00,0.14840165,8.39e-06,8.4e-06,8.3e-06,8.36e-06,17801.49809462
2017-12-14 18:00:00,0.1420784,8.25e-06,8.4e-06,8.25e-06,8.4e-06,17043.32092138